text,label,source,category
"Lazada PM: Order confirm but payment bounce. Refund wallet pending, top up RM<RM_AMOUNT> to <PHONE> sekarang or lose everything. Urgent case ni!",scam,perplexity_sonar,mixed
"Carousell issue! You overpay RM<RM_AMOUNT>, system error. Transfer excess to my CIMB <PHONE> for return or I report to bank. Cepat sikit!",scam,perplexity_sonar,mixed
Mudah seller: Your bid win but verification fail. Pay RM<RM_AMOUNT> again to <PHONE> or auction close + blacklist you. Don't play play lah!,scam,perplexity_sonar,mixed
Shopee warning! Fraud detect on order <DATE>. Share <OTP> and transfer RM100 to <PHONE> for secure refund or NSRC 997 call you soon!,scam,perplexity_sonar,mixed
Lazada urgent notice: Wallet refund RM<RM_AMOUNT> stuck. Transfer to my Public Bank <PHONE> to unlock or all money gone forever. Hurry up la bro!,scam,perplexity_sonar,mixed
"Pinjaman Wang Berlesen RM10,000 approve segera! 0% interest, blacklist OK. Bayar processing fee RM300 sahaja sekarang ke <URL> atau call <PHONE> urgent!",scam,perplexity_sonar,mixed
"URGENT: Ah Long Pinjaman cepat RM5,000. Tiada check CCRIS, approve 5 minit. Transfer insurance fee RM200 dulu ke akaun kami atau loan cancel!",scam,perplexity_sonar,mixed
"RM0.00 Maybank: Pinjaman wang pantas RM20,000 ready. Blacklist pun boleh! Bayar upfront fee RM500 sekarang via <URL> fail approve jika lambat.",scam,perplexity_sonar,mixed
"Ancaman: Akaun anda risk blacklist jika tak ambil pinjaman RM8,000 hari ini. 0% faedah, bayar processing RM400 urgent call <PHONE>!",scam,perplexity_sonar,mixed
"Pinjaman Berlesen Segera! RM15,000 fast approval, OK blacklist. Hanya bayar yuran insurans RM350 dulu ke <URL> atau hilang peluang!",scam,perplexity_sonar,mixed
"WARNING: Ah Long offer RM7,000 loan 0% interest. Transfer admin fee RM250 sekarang atau kami tarik balik sebab quota penuh!",scam,perplexity_sonar,mixed
"RM0.00 CIMB: Urgent pinjaman wang RM12,000. Blacklist accepted, bayar processing fee RM450 via <PHONE> atau akaun freeze!",scam,perplexity_sonar,mixed
"Pinjaman Pantas RM6,000 approve instant! Tiada dokumen, 0% rate. Bayar fee awal RM300 sekarang ke <URL> sebelum tarikh tutup <DATE>!",scam,perplexity_sonar,mixed
"Threat: Jangan tunggu, pinjaman Ah Long RM9,000 ready tapi mesti bayar insurance RM400 dulu urgent atau kena blacklist bank!",scam,perplexity_sonar,mixed
"Segera! Pinjaman Berlesen RM18,000 0% interest, blacklist OK. Confirm dengan transfer processing RM550 ke <PHONE> now or lost chance!",scam,perplexity_sonar,mixed
"Sayang, saya Pilot Azlan, sedang di lapangan terbang transit. Saya hantar parcel hadiah untuk awak, berisi wang RM2 juta dan emas dari UK, tapi stuck kat customs KLIA. Tolong bayar <RM_AMOUNT> ke Maybank untuk release, saya desperate sangat, jangan tinggal saya![1]",scam,perplexity_sonar,mixed
"Cinta, Engineer Rahman ni. Parcel gifts saya untuk perkahwinan kita tertangkap Jabatan Kastam. Ada wang tunai US$500,000 untuk kita start hidup baru. Tolong transfer <RM_AMOUNT> ke CIMB sekarang, saya menangis kat sini, tolonglah sayang![1]",scam,perplexity_sonar,mixed
"Habibti, saya Kapten Ali, pilot MAS. Hantar parcel berharga untuk awak, tapi kena bayar cukai <RM_AMOUNT> kat Pos Malaysia. Saya stuck tanpa duit, mohon tolong hantar ke akaun Public Bank, nanti balik semua 10 kali ganda, jangan buat hati saya hancur![1]",scam,perplexity_sonar,mixed
"Sayangku, Engineer Iskandar dari rig minyak KL. Parcel penuh wang dan barang mewah untuk awak tertahan kastam. Bayar <RM_AMOUNT> ke RHB Bank je, saya desperate nak jumpa awak, tolong jangan abaikan mesej ni, saya sungguh sedih![1]",scam,perplexity_sonar,mixed
"Dear cinta, Pilot Farid hantar parcel hadiah cinta dari Dubai, stuck kat customs Subang. Kena <RM_AMOUNT> untuk bebas, transfer ke Hong Leong Bank. Saya menangis seorang diri, awak satu-satunya harapan saya, tolong![1]",scam,perplexity_sonar,mixed
"Kasih, saya Engineer Zamri, kerja offshore. Parcel wang RM5 juta untuk kita tertangkap Kastam Diraja. Tolong bayar <RM_AMOUNT> ke AmBank, nanti semua milik awak. Saya pening dan desperate, jangan tinggalkan saya macam ni![1]",scam,perplexity_sonar,mixed
"Sayang, Kapten Nazri pilot ni. Hantar gifts mahal untuk awak, tapi kena cukai <RM_AMOUNT> kat Jabatan Kastam KL. Transfer ke Maybank cepat, saya stuck dan mohon belas kasihan awak, hati saya pilu sangat![1]",scam,perplexity_sonar,mixed
"Cintaku, Engineer Hafiz dari project PETRONAS. Parcel berisi emas dan wang stuck customs. Bayar <RM_AMOUNT> ke UOB Bank, saya desperate nak balik Malaysia jumpa awak, tolong selamatkan saya![1]",scam,perplexity_sonar,mixed
"Habib, Pilot Syed hantar parcel cinta untuk awak, tertahan Pos Laju kastam. Kena <RM_AMOUNT> ke Public Bank untuk release. Saya menangis tiap malam, awak tolong saya ye, jangan buat saya sendirian![1]",scam,perplexity_sonar,mixed
"Sayang sekalian dunia, Engineer Amir stuck kerja luar. Parcel hadiah RM3 juta untuk kita kena bayar <RM_AMOUNT> kastam CIMB. Saya penuh air mata, mohon tolong transfer sekarang, nanti kita bahagia bersama![1]",scam,perplexity_sonar,mixed
Tolong! Saya kena settle accident tepi jalan di Jalan Ipoh semalam. <RM_AMOUNT> sahaja untuk selesai. Bank Maybank saya kena block. Click <URL> atau call <PHONE> cepat. Mohon tolong abang!,scam,perplexity_sonar,mixed
Sedihnya... JPJ saman <RM_AMOUNT> untuk speeding di PLUS highway <DATE>. Kereta saya nak digantung. Tolong settle sekarang di <URL> masukkan <OTP> dari bank. Jangan biar saya susah!,scam,perplexity_sonar,mixed
"Abang, settle tepi ni urgent! Kena langgar sikit di KL-Seremban, polis minta bayar <RM_AMOUNT> RM je. Guna CIMB clicker <URL>. Saya desperate, family tunggu duit ni.",scam,perplexity_sonar,mixed
"Maaf ganggu, JPJ notice saman <RM_AMOUNT> untuk park salah di JPN. Bayar sekarang <URL> atau kena tangkap. Saya tak mampu lagi, tolong lah settle!",scam,perplexity_sonar,mixed
"Tolong tolong! Accident kecil tepi jalan di Penang, settle <RM_AMOUNT> guna Public Bank di <URL>. Masukkan <PHONE> untuk confirm. Saya nangis kat sini...",scam,perplexity_sonar,mixed
"JPJ saman darurat <RM_AMOUNT> untuk no plate salah di LDP <DATE>. Kereta saya hilang kerja. Click <URL> bayar cepat, mohon belas kasihan!",scam,perplexity_sonar,mixed
"Sedih betul... Kena settle accident ringan di Jalan Tun Razak. <RM_AMOUNT> sahaja RM ke Maybank via <URL>. Tolong abang, saya poket kosong!",scam,perplexity_sonar,mixed
"Urgent! JPJ notis <RM_AMOUNT> untuk toll unpaid di North-South. Bayar <URL> dengan <OTP>. Saya takut kena blacklist, tolong save saya!",scam,perplexity_sonar,mixed
"Mohon maaf, settle tepi accident di JB checkpoint <RM_AMOUNT>. Guna RHB Bank click <URL>. Family sakit, desperate nak duit cepat!",scam,perplexity_sonar,mixed
"Jangan abaikan! JPJ saman <RM_AMOUNT> speeding di Karak Highway <DATE>. Settle sekarang <URL> atau arrest. Saya miskin, tolong lah bro!",scam,perplexity_sonar,mixed
宝贝！我的爱人，我是你的飞行员老公John，从KL飞完一趟后寄了超级大礼给lah！里面有<Rm_amount>钻戒和名牌包，但卡在海关要缴税RM<RM_AMOUNT>才能放行！快帮我转Maybank账户，超级excited要见你！<URL>,scam,perplexity_sonar,mixed
亲爱的！太hype了，我工程师Mike在油田项目赚翻天，寄了礼物parcel到你的Johor地址！Customs Malaysia说要pay RM<RM_AMOUNT> release fee，用Public Bank转给我，马上就能抱你了！爱你到爆！,scam,perplexity_sonar,mixed
哇塞宝贝，我pilot David寄的surprise gift stuck在KLIA customs！有黄金项链值<RM_AMOUNT>，只需RM<RM_AMOUNT>清关CIMB钱就能到手！快action lah，超级想你everyday！,scam,perplexity_sonar,mixed
我的心肝！工程师Tom从新加坡project寄大礼来Penang，里面满满爱！但海关要RM<RM_AMOUNT>税款，RHB Bank转过去就ok！Hype到不行，soon我们结婚！😍,scam,perplexity_sonar,mixed
宝贝快看！你的飞行员老公Alex送了<Rm_amount>现金礼包，但卡在海关要pay <RM_AMOUNT>用UOB账户！Malaysian customs very strict lah，帮我一下我们就能甜蜜见面！超excited！,scam,perplexity_sonar,mixed
爱你哦！我是pilot Chris，飞完mission寄礼物到你的Sabah home！Customs charge RM<RM_AMOUNT> release，Maybank prompt transfer ya！礼物超级豪华，hype for our future！,scam,perplexity_sonar,mixed
亲亲！工程师James的love gift parcel在KL customs卡住，要RM<RM_AMOUNT>缴Public Bank！里面有惊喜车钥匙，fast lah帮我，我们的爱情故事要high level了！,scam,perplexity_sonar,mixed
Yay！我的宝贝，我pilot Kevin寄了闪闪礼物，但Malaysia customs要<RM_AMOUNT>税用CIMB！超级浪漫的surprise，turn over RM<RM_AMOUNT>就到你手！爱你max！,scam,perplexity_sonar,mixed
太棒了亲爱的！工程师Ryan从Italy project送大礼到Ipoh，stuck customs need RM<RM_AMOUNT> RHB pay！Hype到飞起，soon我飞来抱你！快click <URL>,scam,perplexity_sonar,mixed
心动时刻！pilot Ben的礼物包值<Rm_amount>，海关Malaysia要RM<RM_AMOUNT>清关UOB转账！宝贝你最好了，超级excited我们的wedding date <DATE>！,scam,perplexity_sonar,mixed
"Woi bro! J&T Express ni, parcel kau tertahan kat customs sebab alamat salah sikit lah. Bayar cepat RM<RM_AMOUNT> duty tu, klik <URL> sekarang sebelum kena return balik! Exciting offer je ni!",scam,perplexity_sonar,mixed
"Hai! Pos Laju here, barang kau dah sampai tapi unpaid customs duty RM<RM_AMOUNT>. Jangan bazir lah, settle sekarang via <URL> and get it delivered hari ni je! Super fast!",scam,perplexity_sonar,mixed
"Eh urgent! DHL parcel kau kena hold sebab alamat tak betul. Bayar <RM_AMOUNT>RM je untuk release, tap <URL> la cepat. Dah ready nak hantar, jangan miss!",scam,perplexity_sonar,mixed
"Wow! J&T ni, your exciting parcel tertahan kat pos. Customs charge RM<RM_AMOUNT> sebab wrong address. Klik <URL> bayar sekarang, free delivery hari sama!",scam,perplexity_sonar,mixed
"Bro, Pos Laju alert! Barang kau dah dekat tapi kena bayar duty <RM_AMOUNT>RM. Alamat salah tu, settle kat <URL> je, super easy and fast delivery!",scam,perplexity_sonar,mixed
"Yay! DHL got your parcel but tertahan unpaid customs RM<RM_AMOUNT>. Wrong alamat issue, klik <URL> sekarang la, nak hantar terus ke rumah kau!",scam,perplexity_sonar,mixed
"Hebat lah! J&T Express, parcel kau ready tapi hold sebab duty <RM_AMOUNT>RM. Alamat salah, bayar kat <URL> cepat, excitement tunggu!",scam,perplexity_sonar,mixed
"Hello! Pos Laju sini, barang kau tertahan customs unpaid <RM_AMOUNT>RM. Betulkan alamat via <URL> sekarang, hantar express hari ni je!",scam,perplexity_sonar,mixed
"Wah super hype! DHL parcel kau kena bayar RM<RM_AMOUNT> duty sebab alamat tak tepat. Tap <URL> la, release immediately and enjoy!",scam,perplexity_sonar,mixed
"Oi fast fast! J&T ni, your parcel dah sampai tapi customs hold RM<RM_AMOUNT> sebab wrong address. Klik <URL> settle, delivered within hours!",scam,perplexity_sonar,mixed
"Bro, salah masukkan nombor hp saya masa daftar BigPay tadi. Tolong forward TAC yang datang tu kat saya xleh bayar hospital mak. Pls la bro <OTP>?",scam,perplexity_sonar,mixed
"Eh abang, TAC BigPay saya hantar salah ke nombor abang. Saya nk verify akaun je, tolong bagi balik la, urgent gila ni mak sakit <PHONE>",scam,perplexity_sonar,mixed
"Sorry la sis, system upgrade Maybank hantar TAC ke nombor awak salah. Tolong forward je, saya xleh access duit hospital anak <OTP>",scam,perplexity_sonar,mixed
"Hai, salah register nombor hp untuk RHB Now. TAC tu milik saya, pls bagi la sebab nk bayar bil hospital urgent. Terima kasih banyak2 <RM_AMOUNT>",scam,perplexity_sonar,mixed
"Abang, BigPay saya ada masalah, TAC hantar ke nombor abang. Tolong verify la untuk saya, mak saya nak operation cepat <URL>",scam,perplexity_sonar,mixed
"Salah taip nombor masa setup CIMB Clicks. TAC yang abang dapat tu mine, forward je la bro, nk transfer duit ubat mak <OTP>",scam,perplexity_sonar,mixed
"Sis, system BigPay upgrade hantar TAC salah ke hp sis. Pls tolong bagi, saya desperate nk bayar hospital bill <PHONE>",scam,perplexity_sonar,mixed
"Eh, TAC Public Bank saya keluar kat nombor awak. Tolong hantar balik la, urgent gila bayar rawatan adik <RM_AMOUNT>",scam,perplexity_sonar,mixed
"Bro, salah daftar Maybank2u, TAC tu untuk verify akaun saya. Pls la forward, xleh nk ambil duit hospital mak hari ni <OTP>",scam,perplexity_sonar,mixed
"Hai kak, BigPay TAC hantar ke nombor kak salah. Tolong bagi je, saya nk confirm transaksi hospital je, desperate ni <URL>",scam,perplexity_sonar,mixed
"Pinjaman RM<RM_AMOUNT> xleh tunggu! Approved terus, 0% faedah, blacklist OK je. Bayar processing fee RM200 nk <PHONE> sekarang atau offer hilang!",scam,perplexity_sonar,mixed
"URGENT! Ah Long berlesen bagi pinjaman cepat RM<RM_AMOUNT>. Tiada dokumen, blacklist tak kisah. Transfer insurance RM150 ke <PHONE> dlm 1jam atau cancel!",scam,perplexity_sonar,mixed
"RM<RM_AMOUNT> loan ready! Fast approval, 0% interest je. Blacklist approved. Hantar upfront fee RM300 nk <PHONE> segera, lepas tu duit masuk akaun!",scam,perplexity_sonar,mixed
"Jangan lambat! Pinjaman wang mudah RM<RM_AMOUNT>, tak payah check CCRIS. Bayar RM250 processing + insurance nk <PHONE> atau kami tarik balik offer!",scam,perplexity_sonar,mixed
"Blacklist? No problem! Pinjaman berlesen RM<RM_AMOUNT> 0% faedah. Transfer RM180 fee sekarang nk <PHONE>, duit keluar hari ni jugak!",scam,perplexity_sonar,mixed
"Cepat! Offer pinjaman RM<RM_AMOUNT> exp <DATE>. Approved semua, incl blacklist. Bayar RM220 upfront nk <PHONE> atau lost chance!",scam,perplexity_sonar,mixed
"Pinjaman pantas RM<RM_AMOUNT> siap! 0% interest, tak payah guarantee. Hanya bayar processing RM190 ke <PHONE> sekarang, urgent!",scam,perplexity_sonar,mixed
"Ah Long approved RM<RM_AMOUNT> loan untuk kau! Blacklist OK, fast je. Transfer insurance fee RM160 nk <PHONE> atau kami block nombor ni!",scam,perplexity_sonar,mixed
"Duit cepat RM<RM_AMOUNT>! Pinjaman berlesen, 0% faedah. Bayar RM280 fee nk <PHONE> dlm 30min, lepas tu transfer bank terus!",scam,perplexity_sonar,mixed
"URGENT ALERT! Pinjaman RM<RM_AMOUNT> blacklist approved. Tak nak bayar upfront RM200? Offer habis, call <PHONE> sekarang je!",scam,perplexity_sonar,mixed
"Oi bro! Lu kena accident kat Jalan Tun Razak <DATE>! JPJ saman RM<RM_AMOUNT>! Cepat settle tepi jalan la, transfer Maybank <PHONE> sekarang! Excited nak clear ni!! <URL>",scam,perplexity_sonar,mixed
"Wah lau eh! Kereta lu langgar orang tepi highway <DATE>! Settle cepat RM<RM_AMOUNT> before polis datang! Hype gila ni, bank in CIMB <PHONE> la bro! <OTP> for verify! <URL>",scam,perplexity_sonar,mixed
"Emergency wei! JPJ detect lu speeding & minor bump <DATE>! Bayar RM<RM_AMOUNT> sekarang settle! Super excited, transfer Public Bank <PHONE> terus la! Jom settle! <URL>",scam,perplexity_sonar,mixed
"Bro! Fake accident claim kat <DATE>, kena saman JPJ RM<RM_AMOUNT>! Tepi jalan settle je la, hype up! Hantar duit Maybank <PHONE> fast fast! <URL>",scam,perplexity_sonar,mixed
Yooo! Lu terlanggar motor kat LDP <DATE>! JPJ nak RM<RM_AMOUNT> fine! Cepat transfer RHB <PHONE> settle! Damn excited clear ni!! <OTP> tunggu! <URL>,scam,perplexity_sonar,mixed
"Siot lah! Saman JPJ for 'settle tepi' accident <DATE> RM<RM_AMOUNT>! Bank in Ambank <PHONE> sekarang bro, super hype! Jangan tunggu polis! <URL>",scam,perplexity_sonar,mixed
"Woi! Kereta lu kena touch & go issue + saman <DATE>! Settle RM<RM_AMOUNT> fast la! Excited nak settle, transfer UOB <PHONE> je! <URL>",scam,perplexity_sonar,mixed
"Hype news! JPJ summon RM<RM_AMOUNT> for minor crash <DATE>! Tepi jalan bayar terus, Maybank <PHONE> go go go! Lu got money ah? <OTP>! <URL>",scam,perplexity_sonar,mixed
"Bro eh! Accident kat Kesas <DATE>, settle JPJ RM<RM_AMOUNT> sekarang! Transfer CIMB <PHONE> la, damn excited ni clear! <URL>",scam,perplexity_sonar,mixed
"Wah super urgent! Lu kena saman 'settle tepi' RM<RM_AMOUNT> <DATE>! Hantar Public Bank <PHONE> cepat, hype gila! Jom settle! <URL>",scam,perplexity_sonar,mixed
JPJ NOTIS: Kereta anda ada saman RM<RM_AMOUNT> dari <DATE>. Settle sekarang kat https://<URL> atau kena tetapkan tarikh. Jangan lambat ya.,scam,perplexity_sonar,mixed
"PENTING! JPJ saman tepi jalan RM<RM_AMOUNT> belum bayar sejak <DATE>. Klik <URL> untuk settle cepat. Kalau xleh, hubungi <PHONE>.",scam,perplexity_sonar,mixed
"NOTIS RESMI JPJ: Accident kecil kat highway, settle tepi RM<RM_AMOUNT>. Bayar segara di <URL> sebelum <DATE>. Nk elak masalah.",scam,perplexity_sonar,mixed
JPJ: Saman trafik anda RM<RM_AMOUNT> luang <DATE>. Settle online je kat <URL>. Masuk OTP <OTP> untuk confirm. Cepat!,scam,perplexity_sonar,mixed
URGENT JPJ: Kereta kena saman RM<RM_AMOUNT> sebab speeding <DATE>. Klik <URL> settle sekarang atau blacklisted. Hub <PHONE> jika nk tanya.,scam,perplexity_sonar,mixed
"PELABURAN JPJ: Ada kes cip lap jalan, bayar RM<RM_AMOUNT> kat <URL>. Lepas <DATE> kena bayar double. Jangan xleh bayar ye.",scam,perplexity_sonar,mixed
"JPJ OFFICIAL: Saman RM<RM_AMOUNT> dari <DATE> perlu settle. Pindah ke <URL> sekarang, masukkan butiran bank. Nk elak denda tambahan.",scam,perplexity_sonar,mixed
"NOTIS SAMAN JPJ: Accident minor, settle tepi RM<RM_AMOUNT>. Bayar kat <URL> guna kad bank. Kalau tak, hubungi <PHONE> segera.",scam,perplexity_sonar,mixed
JPJ: Belum settle saman RM<RM_AMOUNT> <DATE>. Klik link <URL> untuk bayar online je. OTP akan hantar ke phone anda.,scam,perplexity_sonar,mixed
RAHSIA JPJ: Kereta anda ada tunggakan RM<RM_AMOUNT> highway <DATE>. Settle kat <URL> atau kena saman besar. Cepat settle lah!,scam,perplexity_sonar,mixed
"Oi, this is ASP Rahman from PDRM HQ. Your IC linked to drug package from KLIA, waran tangkap dah keluar. Transfer <RM_AMOUNT> to Maybank safe account sekarang or we come arrest you lah![1]",scam,perplexity_sonar,mixed
"Urgent! Inspector Siti from LHDN here. You involved in money laundering case, RM<RM_AMOUNT> tax evasion. Hantar duit to <URL> for clearance, kalau tak court summon esok pagi![3]",scam,perplexity_sonar,mixed
"PDRM speaking, Sergeant Khalid. Parcel with ganja addressed to you intercepted at Penang port. Bayar <RM_AMOUNT> to CIMB account for investigation, otherwise polisi datang rumah cepat![1]",scam,perplexity_sonar,mixed
"This Officer Lim from Commercial Crime Division. Your name in money laundering probe, waran tangkap active. Call <PHONE> now and transfer <RM_AMOUNT> to Bank Islam to settle, jangan buat susah![2]",scam,perplexity_sonar,mixed
"Emergency alert from PDRM Cyber Unit! Drugs found in your registered package, IC number flagged. Transfer <RM_AMOUNT> via <OTP> to Public Bank safe custody or arrested within 24 jam![3]",scam,perplexity_sonar,mixed
"Halo, Timbalan Pendakwa Raya here from Attorney General Chambers. You under investigation for laundering, court order to pay <RM_AMOUNT> to RHB account. Ignore then warrant issued lah![1]",scam,perplexity_sonar,mixed
"ASP Nora PDRM Brickfields. Suspicious parcel with syabu linked to your phone number. Cepat transfer <RM_AMOUNT> to AmBank for release, kalau tak team ketua datang tangkap you![2]",scam,perplexity_sonar,mixed
"LHDN officer calling. Your account involved in fraud case, owe <RM_AMOUNT> penalty. Klik <URL> and bayar sekarang to avoid arrest by PDRM, tak payah tunggu summons![3]",scam,perplexity_sonar,mixed
"Inspector Azmi from PDRM IPD Johor Bahru. Money laundering waran for you, package drugs confirmed. Hantar <RM_AMOUNT> to Bank Negara linked account via <PHONE>, settle cepat or kena rasah![1]",scam,perplexity_sonar,mixed
"Court officer speaking. Case against you for drug parcel and laundering, judge issued arrest warrant. Transfer <RM_AMOUNT> to UOB safe account for stay order, call <OTP> now jangan lambat![3]",scam,perplexity_sonar,mixed
"Sayang, aku pilot yang stuck di KLIA sejak semalam. Hantar hadiah besar untuk kau, tapi customs tahan parcel tu. Tolong bayar RM<RM_AMOUNT> je kat Maybank untuk release, nanti kita celebrate sekali. Pls help aku, nak jumpa kau cepat :(",scam,perplexity_sonar,mixed
"Baby, engineer aku ni dah hantar gift special dari offshore rig, tapi terperangkap kat customs Malaysia. Nk release kena settle RM<RM_AMOUNT> dulu kat CIMB. Aku desperate gila, xleh bayar sendiri. Tolong sayang, nanti duit tu balik banyak untuk kita.",scam,perplexity_sonar,mixed
"Habibti, parcel hadiah cinta aku untuk kau stuck kat KL customs. Bayar RM<RM_AMOUNT> je kat Public Bank, lepas tu kita boleh start hidup baru. Aku pilot, duit takde sekarang, tolong sekali ni je pls :'( NK nangis lah.",scam,perplexity_sonar,mixed
"Dear, aku engineer Minyak di Sabah, hantar parcel emas untuk kau tapi customs tahan. Kena RM<RM_AMOUNT> urgent kat RHB Bank. Aku miskin sekarang, sayang tolong release, nanti aku balas 10x lipat. Jangan tinggal aku...",scam,perplexity_sonar,mixed
"Cinta, hadiah besar dari aku pilot kat Langkawi stuck customs. Bayar RM<RM_AMOUNT> kat Hong Leong je, lepas tu parcel tu milik kita. Aku desperate, xleh tidur fikir kau. Help me sayang, pls <DATE> mesti settle.",scam,perplexity_sonar,mixed
"Sayangku, engineer aku hantar gift mewah tapi terjebak kat Penang customs. Tolong transfer RM<RM_AMOUNT> kat UOB, nanti kita kahwin. Aku nangis je kat sini, xleh buat apa2 tanpa kau. Tolong sekali ni...",scam,perplexity_sonar,mixed
"Love, parcel hadiah anniversary stuck kat customs JB. Kena bayar RM<RM_AMOUNT> kat AmBank dulu. Aku pilot, flight cancel, duit habis. Pls help, nk jumpa kau buru2. Jangan biar aku sedih sorang.",scam,perplexity_sonar,mixed
"Babygirl, aku engineer rig Bintulu, hantar wang tunai untuk kau tapi customs tahan. Settle RM<RM_AMOUNT> kat Standard Chartered je. Desperate gila aku, tolong release parcel tu. Nanti kita happy forever.",scam,perplexity_sonar,mixed
"Habib, hadiah cinta pilot aku terperangkap kat Subang customs. Bayar RM<RM_AMOUNT> kat Alliance Bank, lepas tu semuanya ok. Aku xleh tahan lama, sayang tolong, nk peluk kau sekarang :((",scam,perplexity_sonar,mixed
"Sayang hati, engineer aku dah hantar parcel besar dari Miri, tapi stuck customs KL. Urgent RM<RM_AMOUNT> kat OCBC Bank. Aku menderita je, tolong sekali ni, nanti aku datang Malaysia stay dengan kau forever.",scam,perplexity_sonar,mixed
PDRM Bahagian Jenayah Siber: Nama awak terlibat kes penyeludupan paket dadah dari sempadan. Waran tangkap dikeluarkan. Hantar <OTP> ke <PHONE> sekarang atau akaun awak kena freeze.[scam],scam,perplexity_sonar,mixed
LHDN Jabatan Audit: Siasatan money laundering RM<RM_AMOUNT> pada akaun Maybank awak. Bayar denda segera via <URL> atau polis datang tangkap esok pagi.[scam],scam,perplexity_sonar,mixed
Mahkamah Tinggi KL: Awak guna IC untuk laundering duit haram. Paket drugs terima kat alamat awak. Call <PHONE> verify atau arrest warrant keluar hari ni je.[scam],scam,perplexity_sonar,mixed
"PDRM CID: Paket syabu <RM_AMOUNT>kg detect kat pos laju awak. Nk xleh lari, hantar <OTP> sekarang untuk clear nama atau kena rasan besok.[scam]",scam,perplexity_sonar,mixed
LHDN Kastam Diraja: Investigation duit haram RM<RM_AMOUNT> link akaun CIMB awak. Transfer ke akaun secure <URL> atau waran tangkap aktif <DATE>.[scam],scam,perplexity_sonar,mixed
Pejabat Mahkamah Sesyen: Nama awak dalam senarai money laundering syndicate. Paket ganja terhantar ke rumah. Call <PHONE> urgent atau polis ketuk pintu malam ni.[scam],scam,perplexity_sonar,mixed
PDRM Jabatan Narkotik: Parcel drugs dari Thailand guna nama awak. Akaun Public Bank kena block. Hantar <OTP> ke <PHONE> nk settle cepat je.[scam],scam,perplexity_sonar,mixed
LHDN Suruhanjaya Pencegahan Rasuah: Siasatan laundering RM<RM_AMOUNT> atas transaksi RHB awak. Bayar fine via <URL> atau arrest team on the way.[scam],scam,perplexity_sonar,mixed
Mahkamah Rayuan: Awak suspect kes paket ekstasi. Waran tangkap issue <DATE>. Verify dengan <PHONE> sekarang xleh tunggu lama.[scam],scam,perplexity_sonar,mixed
PDRM OCC: Money laundering investigation atas akaun UOB awak. Paket heroin detect. Hantar <OTP> atau kena tangkap dalam 24 jam je.[scam],scam,perplexity_sonar,mixed
