text,label,category,language,tone,obfuscation,urgency,source_seed_id
您的Lazada退款申请正在处理中！为了完成最终的退款，我们需要您的身份验证。请将收到的<OTP>码发送给我们，或点击<URL>进行验证。这是最后一步，立即完成即可收到退款！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
潮流尖货限时抢购！您在Shopee购物车里的这款热门商品，现在可以PM tepi，我们为您锁定独家优惠价！立即私聊<PHONE>，先到先得，售完即止！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
尊敬的顾客，您的Lazada账户因'系统升级'需进行安全验证！验证后，您将自动获得RM<RM_AMOUNT>的‘退款钱包’余额。点击<URL>即可轻松完成，不验证将影响您的退款功能！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
您对Carousell上的这款奢侈品感兴趣吗？PM tepi我们吧！我们有更多高清图片和视频细节，还能给您一个惊喜价！立即WhatsApp <PHONE>，专属服务等您来！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
恭喜您！我们发现您在Mudah订购的商品价格有误！为了避免损失，请PM tepi客服<PHONE>，我们将为您锁定最优惠价格，并立即处理订单！限时优惠，错过不再！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
激动人心！这款爆品在Shopee库存告急！现在PM tepi我们，通过WhatsApp <PHONE>直接下单，保证有货，并且还能享受到独家快速发货服务！抢购从速！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
您的Lazada订单#<OTP>因卖家缺货已被取消！系统已为您自动生成退款，但需您手动激活'退款钱包'。请点击<URL>并输入<OTP>码以完成，否则退款将无法到账！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
哇塞！您在Shopee浏览的商品，我们现在有独家优惠券！PM tepi我们，私聊<PHONE>获取专属链接，享受超乎想象的折扣！数量有限，手快有手慢无！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
紧急通知：您的Lazada国际包裹被海关扣留，需支付RM<RM_AMOUNT>的‘进口手续费’！为感谢您的配合，成功支付后将获得RM<RM_AMOUNT>的购物回扣！点击<URL>立即支付，别耽误收货！,scam,Ecommerce_Scam,Chinese (Simplified),Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"Sori bossku, terhantar <OTP> ni kat u. Bleh bg balik x? Urgent sgt ni, sbb payment nk buat. Cpt sikit, jgn smpi salah org guna! Balas skrg!",scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"<BANK_NAME> ALERT! Akaun anda dikesan ada transaksi mencurigakan. Sila sahkan <OTP> di <URL> segera atau akaun anda akn dibekukan dlm 1 j4m. Jgn lambat, rugi nnti!",scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"PERHATIAN! Pendaftaran Bantuan Sara Hidup u perlukan pengesahan TAC. Sila masukkan <OTP> anda di <URL> sblm <DATE> atau permohonan akn dibatalkan. Jgn bazir masa, nnti x dpt duit!",scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"AMARAN POLIS! Akaun bank anda disyaki terlibat aktiviti h4r4m. Sila sahkan identiti dgn <OTP> ke <PHONE> sblm 30 minit. Gagal berbuat demikian, waran tangkap akn dikeluarkan!",scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"G0P1NJ4M: Permohonan pinjaman anda berjumlah RM<RM_AMOUNT> tlh diluluskan. Sila sahkan <OTP> anda utk pengeluaran dana ke akaun. Jgn lengah, dana akn dibatalkan jika gagal dlm 15 minit!",scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"TNG eWallet: Akaun anda dibekukan atas sbb keselamatan. Utk aktifkan semula, sila sahkan <OTP> ni di <URL>. Kalau x, duit dlm ewallet u akn hilang. Cepat, jgn tunggu!",scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"J&T Express: Pesanan u tlh tiba, tapi pembayaran RM<RM_AMOUNT> masih tertangguh. Sila masukkan <OTP> di <URL> utk sahkan & elak parcel dihantar balik. Last chance ni!",scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"TAHNIAH! u tlh memenangi hadiah RM<RM_AMOUNT> drp Kempen Raya <BANK_NAME>. Sila hantar <OTP> ke <PHONE> skrg utk claim. Tawaran terhad, jgn terlepas!",scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"PENTING! Ada percubaan login mencurigakan ke akaun Maybank2u u. Sila verify <OTP> ini di <URL> utk elakkan kehilangan duit. Kalau x buat, akaun akn disekat!",scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
LHDN ALERT! Terdapat tunggakan cukai di bawah nama <IC_NUM> anda. Sila masukkan <OTP> di <URL> utk pengesahan & bayaran atau tindakan undang-undang akn diambil segera!,scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
KWSP PENTING! Pembayaran dividen u perlukan pengesahan. Sila masukkan <OTP> ni ke <PHONE> sblm <DATE> atau pembayaran akn dibatalkan. Rugi la klo x dpt!,scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
CIMB Clicks: Sistem kami mengesan aktiviti penipuan di akaun anda. Sila sahkan <OTP> di <URL> dlm 5 minit utk elak dana anda dipindahkan. Ini arahan keselamatan MANDATORI!,scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
AMARAN BANK NEGARA: Akaun <BANK_NAME> u akn dibekukan kerana pengesahan KYC belum lengkap. Sila masukkan <OTP> di <URL> sekarang atau akaun u akn disiasat!,scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"Pemberitahuan Sistem <BANK_NAME>: Utk kemaskini profil keselamatan, sila masukkan <OTP> ni di <URL>. Kalau x, u xleh akses online banking lps ni. Jgn lupa, penting ni!",scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"Ada cubaan login dari peranti asing ke akaun BigPay u. Sila masukkan <OTP> utk sahkan ini bkn u. Kalau bkn u, cepat batalkan di <URL> sblm duit hilang!",scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
URGENT! Hutang ah long u dah overdue! Sila sahkan <OTP> ni ke <PHONE> utk buat bayaran segera atau kami akan hantar org ke rumah u skrg! Jgn main2!,scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"PESANAN PENTING! TAC <OTP> anda diperlukan utk pendaftaran MySejahtera V2.0. Masukkan di <URL> dlm 5 minit. Kalau x, status vaksinasi akn dibatalkan. Cepat!",scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"Wow! U w0n baucar RM<RM_AMOUNT> dari Lazada! Utk tebus, sila hantar <OTP> ni ke <PHONE>. Stok terhad, cepat sblm habis! Jangan lepaskan peluang!",scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"INFO PENTING: Ada transaksi RM<RM_AMOUNT> ke luar negara dari akaun <BANK_NAME> u. Sila sahkan <OTP> ni di <URL> jika u yg buat. Kalau x, pihak bank akn bekukan akaun u terus!",scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"Pendaftaran e-Wallet <BANK_NAME> anda memerlukan pengesahan akhir. Sila masukkan <OTP> di <URL> utk aktifkan. Kalau x aktifkan, semua faedah akn hilang. Cepat tau!",scam,TAC_OTP_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
RM0 Kami amat terdesak mencari individu rajin. Perlukan bantuan anda untuk tugasan Shopee/Lazada. Pendapatan harian <RM_AMOUNT> menanti. Sila daftar di <URL>. Rayuan kami.,scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
RM0 Kami merayu perhatian anda. Peluang kerja separuh masa 'Like & Share' TikTok/YouTube. Bantu kami tingkatkan capaian. Jana sehingga <RM_AMOUNT> sehari. Sertai: <URL>. Kami amat memerlukan.,scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
RM0 Jangan biarkan kesempitan wang menghantui anda. Peluang bantu selesaikan tugas e-dagang kini terbuka. Perlukan sedikit komitmen awal. Jana pendapatan harian. Maklumat lanjut: <URL>.,scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",Medium,115
"RM0 Anda kesempitan? Jangan putus asa. Peluang kerja dari rumah, bantu kami, jana <RM_AMOUNT> setiap hari. Maklumat lanjut: <URL>. Kami sedia membantu mereka yang memerlukan.",scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",Medium,115
"RM0 Sebagai Pengurus Pengambilan, saya merayu. Kami kekurangan staf untuk tugasan afiliasi. Mohon kerjasama anda di <URL>. Gaji lumayan. Bantu kami segera.",scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
RM0 Platform kami amat memerlukan sokongan. Perlukan pekerja separuh masa bantu capai sasaran. Pendapatan sehingga <RM_AMOUNT> setiap hari. Sertai di <URL>. Kami memohon ihsan.,scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
RM0 Desakan masa memerlukan kami mencari anda. Tugas 'review' produk Shopee. Sila daftar di <URL> untuk mula menjana <RM_AMOUNT>. Sokongan anda amat kami hargai.,scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
RM0 Kami berharap anda sudi membantu. Peluang kerja separuh masa selesaikan tugasan Lazada. Jana sehingga <RM_AMOUNT> setiap hari. Butiran lanjut di <URL>. Kami amat mengharapkan.,scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",Medium,115
"RM0 Jika anda terbeban kewangan, kami memahami. Tawaran kerja sambilan pemprosesan data sedia bantu anda. Komitmen kecil diperlukan. Lihat <URL>. Kami harap anda sudi.",scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",Medium,115
"RM0 Peluang ini amat terhad, kami mohon agar mereka yang benar-benar memerlukan rebutlah. Tugas afiliasi mudah, pendapatan <RM_AMOUNT>. Daftar di <URL>. Jangan lepaskan.",scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"RM0 Kami memohon bantuan anda. Untuk meningkatkan jualan e-dagang, kami perlukan 'booster' separuh masa. Jana <RM_AMOUNT> harian. Hubungi <PHONE> atau kunjungi <URL>. Kami berharap.",scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",Medium,115
"RM0 Pasukan kami amat memerlukan pengembangan segera. Peluang kerja dari rumah, tugas mudah, gaji <RM_AMOUNT> harian. Sila daftar di <URL>. Kami amat menghargai keprihatinan anda.",scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"RM0 Jangan biarkan kemiskinan membelenggu. Peluang unik kerja dari rumah, bantu operasi kami. Pendapatan sehingga <RM_AMOUNT>. Mohon di <URL>. Kami harap anda tidak lepaskan.",scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
RM0 Kami sedang mencari individu yang sanggup memberi komitmen awal demi masa depan cerah. Kerja e-dagang. Peluang jana <RM_AMOUNT>. Sila hubungi <PHONE>. Kami amat mengharapkan.,scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"RM0 Kekurangan tenaga kerja mendesak kami. Peluang kerja separuh masa, tugasan ringan. Pendapatan <RM_AMOUNT> harian. Sila layari <URL>. Kami sangat mengharapkan bantuan anda.",scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
RM0 Selamatkan platform kami! Kami memerlukan pekerja separuh masa untuk 'engage' pengguna. Jana sehingga <RM_AMOUNT> sehari. Daftar di <URL>. Kami rayu jasa baik anda.,scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
RM0 Kami merayu agar anda bantu tingkatkan kehadiran online kami. Kerja 'Like & Share' di media sosial. Jana <RM_AMOUNT> setiap hari. Sertai segera di <URL>. Kami amat memerlukan.,scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
RM0 Bantulah kami mencapai sasaran bulanan. Peluang kerja separuh masa Shopee/Lazada. Pendapatan <RM_AMOUNT> harian. Hubungi <PHONE> atau <URL>. Kami sangat berharap pada anda.,scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",Medium,115
"RM0 Slot pekerjaan terhad untuk mereka yang terdesak mencari pendapatan tambahan. Kerja dari rumah, tugasan mudah. Jana <RM_AMOUNT>. Daftar di <URL> segera. Jangan lepaskan peluang.",scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
RM0 Kami ingin berkongsi rezeki dengan anda. Perlukan pekerja sambilan untuk tugasan e-dagang. Jana <RM_AMOUNT> harian. Maklumat lanjut: <URL>. Kami berharap anda sudi menyertai.,scam,Job_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",Low,115
PERHATIAN! Terdapat ralat sistem pd akaun anda. Sila klik L ink ini <URL> utk pengembalian dana RM<RM_AMOUNT> segera. Kegagalan tindakan akan sekat akaun.,scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
J&T: Pakej anda tertangguh di Kastam. Bayaran RM<RM_AMOUNT> diperlukan utk pelepasan. Hubungi <PHONE> atau klik <URL> SEGERA.,scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
AMARAN: Aktiviti mencurigakan dikesan pd akaun Shopee anda. Sila sahkan akaun melalui <URL> SEBELUM <DATE> atau akaun disekat kekal.,scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
Barangan anda di Mudah MY telah dibeli. Sila teruskan transaksi melalui W.h.a.t.s.A.p.p <PHONE> utk 'Lock price'. Jangan lewat!,scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
Peringatan drp Lazada: Baki 'Refund wallet' anda tamat tempoh. Pindahkan ke akaun bank anda via <URL> SEGERA atau akan luput.,scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
<BANK_NAME> Notis: Transaksi e-dagang anda gagal. Sila kemaskini maklumat pembayaran di <URL> dlm 24 jam atau akaun akan dibekukan.,scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"Transaksi RM<RM_AMOUNT> dikesan dari akaun e-dagang anda. Jika bukan anda, lapor SEGERA di <URL> atau tanggung kerugian.",scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
TAHNIAH! Anda terpilih sbg pemenang Shopee! Tebus hadiah RM<RM_AMOUNT> di <URL>. Perhatian: Pengesahan OTP diperlukan dlm 30 minit. <OTP>,scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
PENTING: Akaun e-dagang anda disyaki penipuan. Sila sahkan identiti di <URL> dgn <IC_NUM> SEGERA atau akaun anda akan ditamatkan.,scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
Barangan anda di Carousell telah 'Lock price'. Sila hubungi seller di W.h.a.t.s.A.p.p <PHONE> utk pembayaran penuh. Jgn tunda.,scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
Maybank: Proses 'refund' anda tertangguh. Sila berikan <OTP> di <URL> utk pengesahan & pengkreditan semula RM<RM_AMOUNT> SEKARANG.,scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"Notis Rasmi: Bungkusan antarabangsa anda ditahan kastam. Bayaran cukai RM<RM_AMOUNT> wajib diselesaikan di <URL>. Gagal bayar, tindakan undang2.",scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
TNG eWallet: Masalah ralat dlm transaksi anda. Dana RM<RM_AMOUNT> akan dikembalikan setelah pengesahan di <URL>. Bertindak SEGERA!,scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
AMARAN KESELAMATAN: Log masuk dari lokasi asing dikesan pd akaun e-dagang anda. Sahkan identiti di <URL> utk elak penipuan. Bertindak segera!,scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"Anda perlu membuat pembayaran semula utk semakan produk RM<RM_AMOUNT> di <URL>. Gagal bayar, akaun anda akan digantung secara kekal.",scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
Jabatan Perlindungan Pengguna: Aduan refund anda ditolak. Sila klik L ink <URL> utk rayuan terakhir & penyelesaian RM<RM_AMOUNT> SEBELUM <DATE>.,scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
"Pakej anda gagal dihantar. Sila bayar caj penghantaran semula RM<RM_AMOUNT> di <URL> dlm 1 jam. Gagal, pakej dilupuskan.",scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
PENTING! Akaun Lazada anda di bawah semakan. Sila lengkapkan pengesahan di <URL> segera atau akses anda akan disekat terus.,scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
Notis: Kegagalan anda memproses 'refund wallet' RM<RM_AMOUNT> melalui <URL> akan menyebabkan tindakan undang-undang diambil. Jgn abaikan!,scam,Ecommerce_Scam,Bahasa Melayu,Excited/Hype (Investment/Prize),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",High,115
