benign_type,language,tone,obfuscation,platform,text,label,model,source_seed_id,urgency
Educational_Info,"Manglish (Code-switching EN+MY - e.g., 'You got receive money ah? Can transfer back?')",Friendly/Casual,Clean (Perfect grammar),Telegram (Group invite style),"```
Keselamatan Akhirnya Melintasi 300 Miliar
 
Malaysia
 
Penutup
 
Beberapa tips penting untuk memperbaiki pengalaman pengguna Maybank Online Banking di masa hadapan
 
1. Masukkan OTP
 
2. Periksa semula nomor telefon
 
3. Perbarui alamat dengan cepat
 
4. Periksa kembali status paket
 
5. Perbaiki kesalahan log dalam
 
6. Pastikan file yang dipilih kemas dan berkesan
 
7. Pastikan pasangan yang dipilih sesuai dengan keperluan
 
8. Pastikan aktiviti yang dikehendaki tidak dilanggar undang-undang
 
9. Pastikan semua jimatan dan bonus dibeli dengan",benign,SeaLLM-v3-1.5B-Chat,116,Low
Official_Notification,"Bahasa Melayu (Pasar/Slang - e.g., 'xleh', 'nk', 'je', 'bossku')",Neutral/Informative,"Leetspeak (u w0n pr1ze, RM1OOO)",Telegram (Group invite style),"""Hello, good afternoon! 🌞 Did you receive your bank statement for the month of <MONTH> from <URL>? If so, please check the details and confirm your receipt. If there are any questions or concerns, feel free to contact our customer service at <PHONE>. We hope you have a great day! 😊 #BankStatement""",benign,SeaLLM-v3-1.5B-Chat,43,Low
Marketing_Promo,Bahasa Melayu (Formal - Govt/Bank style),Professional/Formal,Typos (Realistic typing errors),Telegram (Group invite style),"""Hello {USERNAME},

We are excited to announce our new promotions! Get a {RM_AMOUNT} discount on your purchases at Shopee and GrabFood, or take advantage of the {RM_AMOUNT} GrabFood voucher. Plus, enjoy the convenience of Touch N Go and J&T memberships.

For more information or to redeem your discount, simply use the following code: {CIMB_OTP}.

Don't miss out on our limited-time offers - hurry up and shop now!

Warm regards,
{PR_NAME}""

Penggunaan teknik typos dan placeholder di dalam mesej akan membuat pesan lebih menarik dan otentik. Teknik ini juga membantu dalam mengurangkan risiko kesalahan dalam mengetik atau pengiriman pesan. Berikut adalah contoh mesej yang telah disesuaikan dengan keperluan yang d",benign,SeaLLM-v3-1.5B-Chat,53,Low
Educational_Info,Chinese (Simplified) - Malaysian context,Exciting/Enthusiastic (promotions),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",SMS (Short <160 chars),"```
W.h.a.t.s.A.p.p: Dial 1478 to check balance
L ink: https://www.bankmalaysia.com.my/
@5RM: From Maybank, CIMB, LHDN, KWSP, Touch n Go, J&T, PDRM, Shopee, Grab
*Selamat datang, 30 RM* Enjoy 30 RM bonus when you deposit RM1000 or more! Check details [URL] 
*Free gift* Share a photo of yourself with your favorite item and claim your free gift [URL] 
```",benign,SeaLLM-v3-1.5B-Chat,95,Medium
Educational_Info,Chinese (Simplified) - Malaysian context,Calm/Reassuring (alerts),Clean (Perfect grammar),"WhatsApp (Longer, formatting allowed)","""Hello, kindly provide these documents: [URL], [PHONE], [RM_AMOUNT], [OTP] to activate your account. Your account has been successfully activated. Thank you.""",benign,SeaLLM-v3-1.5B-Chat,78,Low
Marketing_Promo,Bahasa Melayu (Formal - Govt/Bank style),Calm/Reassuring (alerts),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)","WhatsApp (Longer, formatting allowed)","```
Hi [Name],

We have exciting news for you! 🎉
Maybank is running a promotion for their credit card members. 😄
Here's the code for your reference: [W.h.a.t.s.A.p.p](https://www.whatshapp.com/715087544840945)

*L ink*

To take advantage of this offer, simply visit [L.id](https://www.ida.fj) and sign up with your credit card details. 😊
Don't miss out on this exclusive deal! 💰

W.h.a.t.s.A.p.p: <URL>
L id: <URL>

#W.h.a.t.s.A.p.p
```",benign,SeaLLM-v3-1.5B-Chat,22,Low
Charity_Donation,"Bahasa Melayu (Pasar/Slang - e.g., 'xleh', 'nk', 'je', 'bossku')",Neutral/Informative,Typos (Realistic typing errors),SMS (Short <160 chars),"```
Please consider donating RM100 to Malaysia's charitable causes such as Touch n Go, Shopee, Grab, J&T, KWSP, CIMB, LHDN, Maybank, PDRM, and more! Your contribution will make a difference and contribute to the betterment of society. To donate, visit <URL>. Your OTP code is <OTP>. Your registration details are <PHONE>. Thank you!

[Your Name]
```",benign,SeaLLM-v3-1.5B-Chat,12,Low
Delivery_Update,Chinese (Simplified) - Malaysian context,Exciting/Enthusiastic (promotions),Clean (Perfect grammar),"WhatsApp (Longer, formatting allowed)","Sebagai pengguna J&T, Pos Laju, DHL, atau penyedia logistik lain yang terpercaya di Malaysia, lihatlah pesanan anda. Berikut adalah status penghantaran anda:

Nama pesanan: <NAME>
Status penghantaran: Sedia diproses
Anda telah menerima OTP (One Time Password) untuk mengecek status penghantaran. Untuk lebih banyak informasi, anda boleh menghubungi nomor <PHONE> atau mengakses laman web mereka di <URL> dengan kata laluan <OTP>. Mereka akan memberi tahu anda mengenai perkembangan penghantaran anda.
Dengan mengikuti instruksi ini, anda boleh memastikan pesanan anda diterima tepat pada <DATE> atau lebih awal, menunjukkan ke",benign,SeaLLM-v3-1.5B-Chat,26,Medium
Educational_Info,Chinese (Simplified) - Malaysian context,Neutral/Informative,Clean (Perfect grammar),"WhatsApp (Longer, formatting allowed)","""Dear [User],

Here are some educational tips that you may find useful. In case you have any questions, feel free to contact us. Our team is always here to assist you. Stay safe and keep learning!

Best regards,
[Your Name]

[Your Company]

[Your Phone Number]

[Your Email]

[Company Logo]

[URL]""",benign,SeaLLM-v3-1.5B-Chat,52,Low
Charity_Donation,Bahasa Melayu (Formal - Govt/Bank style),Friendly/Casual,"Leetspeak (u w0n pr1ze, RM1OOO)",Telegram (Group invite style),"```
Kategori: Charity_Donation
Bahasa: Bahasa Melayu (Formal - Govt/Bank style)
Nada: Friendly/Casual
Teknik: Leetspeak (u w0n pr1ze, RM1OOO)
Platform: Telegram (Group invite style)
Konteks: Maybank, CIMB, LHDN, KWSP, Touch n Go, J&T, PDRM, Shopee, Grab
```",benign,SeaLLM-v3-1.5B-Chat,19,Low
Educational_Info,"Manglish (Code-switching EN+MY - e.g., 'You got receive money ah? Can transfer back?')",Professional/Formal,"Leetspeak (u w0n pr1ze, RM1OOO)",Telegram (Group invite style),"This is an educational or informational message: tips, newsletters, course reminders.

Konteks: Educational or informational message: tips, newsletters, course reminders.

Kategori: Educational_Info
Bahasa: Manglish (Code-switching EN+MY - e.g., 'You got receive money ah? Can transfer back?')
Nada: Professional/Formal
Teknik: Leetspeak (u w0n pr1ze, RM1OOO)
Platform: Telegram (Group invite style)
Konteks: Educational or informational message: tips, newsletters, course reminders.

Keperluan:
- Gunakan konteks Malaysia: Maybank, CIMB, LHDN, KWSP, Touch n Go, J&T, PDRM, Shopee, Grab
- Gunakan placeholder: <URL>, <PHONE>, <RM_AMOUNT>, <OTP> jika sesuai",benign,SeaLLM-v3-1.5B-Chat,102,Low
Marketing_Promo,"Manglish (Code-switching EN+MY - e.g., 'You got receive money ah? Can transfer back?')",Friendly/Casual,Typos (Realistic typing errors),SMS (Short <160 chars),"```
You are now listed in CTOS Trade Reference for P1 A/C 104046701. Pls pay O/S RM1889.02 NOW for delisting. Additional RM50 Admin fee applies.
```",benign,SeaLLM-v3-1.5B-Chat,26,Low
Delivery_Update,Chinese (Simplified) - Malaysian context,Friendly/Casual,Typos (Realistic typing errors),"WhatsApp (Longer, formatting allowed)","""Dear customer,

Thank you for your order with [Company Name] Malaysia. Your order number is [ORDER_NUMBER] and it will be delivered to you in [Delivery_Time]. We've tracked your order and received your payment of [Payment_Amount]. Please check your account for a refund once the package is received. 

Kind regards,
[Your Name]""",benign,SeaLLM-v3-1.5B-Chat,23,Low
Educational_Info,Chinese (Simplified) - Malaysian context,Calm/Reassuring (alerts),Clean (Perfect grammar),Telegram (Group invite style),"```plaintext
สวัสดีค่ะ ต้องแจ้งให้ทราบว่าในวันที่ 26/05/2023 ทางธนาคารไทยพาณิชย์จะเริ่มดำเนินการชำระเงินนอกรายการต่างๆ ที่ผู้ใช้ยังไม่ได้ชำระในช่วงเวลาดังกล่าว ซึ่งหากไม่มีการชำระเงิน ธนาคารจะทำการตรวจสอบเรื่องค้างชำระอีกครั้ง ค่ะ โปรดแจ้งให้ทราบหากคุณมีการชำระเงินที่เรียบร้อย เพื่อให้ธนาคารสามารถดำเนินการชำระเงินตามขั้นตอนที่ได้ยืนยันไว้ก่อน จะช่วยให",benign,SeaLLM-v3-1.5B-Chat,73,Low
Official_Notification,Bahasa Melayu (Formal - Govt/Bank style),Professional/Formal,Clean (Perfect grammar),"WhatsApp (Longer, formatting allowed)","```
Kesimpulan: You are not experiencing any issues.
```",benign,SeaLLM-v3-1.5B-Chat,97,Low
Appointment_Reminder,Chinese (Simplified) - Malaysian context,Professional/Formal,Typos (Realistic typing errors),Telegram (Group invite style),"""Malaysia, I've overpaid the Malaysian government (MyGOV) due to a system error. Click [URL] to return the excess payment. #AppointmentReminder""",benign,SeaLLM-v3-1.5B-Chat,116,Low
Marketing_Promo,"Manglish (Code-switching EN+MY - e.g., 'You got receive money ah? Can transfer back?')",Exciting/Enthusiastic (promotions),"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)",SMS (Short <160 chars),"'Hello [Nama], How are you doing? We have exciting promotions for you! Check out [URL] for details.'",benign,SeaLLM-v3-1.5B-Chat,1,Medium
Delivery_Update,"Manglish (Code-switching EN+MY - e.g., 'You got receive money ah? Can transfer back?')",Calm/Reassuring (alerts),Typos (Realistic typing errors),"WhatsApp (Longer, formatting allowed)","```
UwU!  Buat sekarang!  Mesti 15 minit lagi!  #YouGotMoney #WooHoo
```",benign,SeaLLM-v3-1.5B-Chat,69,Low
Official_Notification,Bahasa Melayu (Formal - Govt/Bank style),Neutral/Informative,"Leetspeak (u w0n pr1ze, RM1OOO)",SMS (Short <160 chars),"```plaintext
ATTENTION: Your account will be blocked within 6 hours due to terms of service violations. Click https://whtasapp-a.com to cancel restriction. 
```",benign,SeaLLM-v3-1.5B-Chat,107,Low
Official_Notification,"Bahasa Melayu (Pasar/Slang - e.g., 'xleh', 'nk', 'je', 'bossku')",Calm/Reassuring (alerts),Clean (Perfect grammar),SMS (Short <160 chars),"```
================= BANK STATEMENT ALERT =================
Dear [Username],

We would like to inform you that there is a pending transaction with a value of <RM_AMOUNT> at the following bank accounts:
- Bank: <Bank>
- Account Holder: [AccountHolder]
- Branch: <Branch>
- Date: [Date]
- OTP: [OTP]

Please note that this is an automated message and not a live account activity. If you need further assistance, please contact your nearest branch or bank hotline at <PHONE>.

Thank you for your cooperation.

Best regards,
[Your Name] 

```
Error: Invalid character '<' in string ""Bank: <Bank>"".
Found at position 16. Valid characters are: a-z, A-Z, 0-9, _ / -
`'s character does not fall within these valid characters. Please use standard characters.",benign,SeaLLM-v3-1.5B-Chat,57,Low
Educational_Info,Chinese (Simplified) - Malaysian context,Professional/Formal,"Evasion (Using 'W.h.a.t.s.A.p.p', 'L ink', emojis to bypass filters)","WhatsApp (Longer, formatting allowed)","""W.h.a.t.s.A.p.p. အကူအညီရန်""",benign,SeaLLM-v3-1.5B-Chat,112,Low
Marketing_Promo,"Bahasa Melayu (Pasar/Slang - e.g., 'xleh', 'nk', 'je', 'bossku')",Friendly/Casual,Typos (Realistic typing errors),"WhatsApp (Longer, formatting allowed)","(61960700767, 0123456789, RM10000, 0012345678) ?https://m.facebook.com/.../page...?_r=3 (MYCC)",benign,SeaLLM-v3-1.5B-Chat,56,Low
Account_Alert,Bahasa Melayu (Formal - Govt/Bank style),Neutral/Informative,"Leetspeak (u w0n pr1ze, RM1OOO)",SMS (Short <160 chars),Keseimbangan: 10,benign,SeaLLM-v3-1.5B-Chat,116,Low
Delivery_Update,English (Malaysian Standard),Calm/Reassuring (alerts),Typos (Realistic typing errors),"WhatsApp (Longer, formatting allowed)","Jika J&T <URL> melakukan penghantaran secara <PHONE> untuk RM <RM_AMOUNT> dan menyatakan ketersediaan pada <DATE>, sila <OTP>. Terima kasih!",benign,SeaLLM-v3-1.5B-Chat,56,Low
Official_Notification,"Manglish (Code-switching EN+MY - e.g., 'You got receive money ah? Can transfer back?')",Professional/Formal,Clean (Perfect grammar),Telegram (Group invite style),"Hai, mari kita bahagikan duit. Kami telah memberikan laporan tentang transfer duit yang dikehendaki pada tarikh <DATE>. Sila periksa laporan tersebut sebelum mengesahkan transfer. Sila kreditkan <URL> atau <PHONE> sebagai nombor akaun yang boleh dipercayai. 
Setiap kali anda perlu menyimpan <RM_AMOUNT> untuk pembayaran. Sila sertakan OTP yang diberikan di balik bar kod pengesahan ini. Setelah memberikan OTP, sila kreditkan <URL> atau <PHONE> seperti yang dikehendaki. Terima kasih. 

Pada hari ini, telah memberikan 3 pengesahan transfer ke atas dengan jumlah sebanyak <RM_AMOUNT>. Sila periksa setiap transfer yang masuk pada hari",benign,SeaLLM-v3-1.5B-Chat,20,Low
Delivery_Update,English (Malaysian Standard),Calm/Reassuring (alerts),Typos (Realistic typing errors),Telegram (Group invite style),"`J&T, Pos Laju, DHL, Touch n Go, Shopee, Grab... tracking number <URL>, expected time <DATE>`",benign,SeaLLM-v3-1.5B-Chat,41,Low
Marketing_Promo,English (Malaysian Standard),Professional/Formal,Clean (Perfect grammar),Telegram (Group invite style),"""RM0.00 634260093677 akan luput pada 20/08/17. Sila hubungi cawangan untuk tuntutan anda.""",benign,SeaLLM-v3-1.5B-Chat,26,Low
